instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,01/01/11,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985
2,02/01/11,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801
3,03/01/11,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349
4,04/01/11,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562
5,05/01/11,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600
6,06/01/11,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606
7,07/01/11,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510
8,08/01/11,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959
9,09/01/11,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822
10,10/01/11,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321
11,11/01/11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263
12,12/01/11,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
13,13/01/11,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406
14,14/01/11,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
15,15/01/11,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248
16,16/01/11,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204
17,17/01/11,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
18,18/01/11,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683
19,19/01/11,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650
20,20/01/11,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927
21,21/01/11,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543
22,22/01/11,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981
23,23/01/11,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986
24,24/01/11,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416
25,25/01/11,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985
26,26/01/11,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506
27,27/01/11,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431
28,28/01/11,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167
29,29/01/11,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098
30,30/01/11,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
31,31/01/11,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
32,01/02/11,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360
33,02/02/11,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526
34,03/02/11,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550
35,04/02/11,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708
36,05/02/11,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005
